Viscosita_100,TBN_basic,TAN_acid,ipH,Ossidazione,IR,Sodio,Glicole,Silicio,Ferro,Alluminio,Cromo,Rame,Stagno,Piombo,EndCharge
13.6,5.0,1.37,6.19929410183677,3.3,0.0,1.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
14.1,3.9,1.7,6.430205893036975,6.0,2.4,1.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
14.4,3.7,1.64,5.132163288631423,6.5,2.7,1.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0
13.6,5.0,1.31,5.557176622148623,1.6,0.0,26.0,0.1,9.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0
13.7,4.6,1.42,5.2449983529844655,4.4,1.1,30.0,0.0,2.0,3.0,2.0,0.0,1.0,0.0,1.0,0.0
13.9,3.7,1.55,6.757085974243373,5.1,1.9,25.0,0.0,3.0,4.0,2.0,0.0,2.0,0.0,1.0,1.0
13.9,4.8,1.21,6.7,2.2,0.3,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
13.9,4.6,1.42,6.810505338917253,5.4,2.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
14.3,3.5,1.56,6.1978144162729745,8.2,3.4,1.0,0.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0
13.9,4.0,1.58,6.3,7.8,3.1,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0
14.2,3.9,1.63,7.8,6.1,2.2,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
14.3,3.3,1.98,5.8,7.6,3.1,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0
15.4,3.5,2.92,5.6,12.9,9.6,2.0,0.0,3.0,4.0,3.0,0.0,1.0,0.0,0.0,1.0
14.6,6.8,2.48,6.3,10.7,7.3,1.0,0.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0
14.4,6.1,2.63,6.2,8.8,6.9,1.0,0.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
15.2,2.5,3.5,5.0,14.0,9.7,2.0,0.0,4.0,4.0,3.0,0.0,0.0,0.0,0.0,1.0
13.5,4.9,1.35,6.8,6.3,0.4,0.0,0.0,4.0,3.0,2.0,0.0,2.0,0.0,0.0,0.0
13.9,4.3,1.64,6.1,10.0,3.1,1.0,0.0,2.0,3.0,2.0,0.0,2.0,0.0,0.0,0.0
14.1,3.8,2.09,5.7,8.4,7.0,0.0,0.0,2.0,3.0,2.0,0.0,1.0,1.0,0.0,0.0
14.4,3.7,2.08,5.6,10.3,8.1,1.0,0.0,3.0,4.0,3.0,0.0,1.0,0.0,0.0,1.0
14.4,5.8,1.96,6.8,5.1,8.2,1.0,0.1,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
14.5,5.3,2.07,6.4,6.8,9.4,0.0,0.1,3.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0
13.6,3.7,1.78,5.6,5.4,1.6,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
14.1,2.2,1.86,5.4,10.7,4.8,0.0,0.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0
13.7,4.1,1.68,6.3,5.9,2.2,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
14.0,2.9,1.85,5.6,9.5,4.5,0.0,0.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0
13.9,2.5,1.87,5.1,11.7,5.8,0.0,0.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0
13.5,4.3,1.42,5.8,5.9,2.2,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0
13.7,2.7,1.82,5.2,9.6,4.6,0.0,0.0,0.0,2.0,3.0,0.0,1.0,0.0,0.0,1.0
13.7,3.6,1.64,5.8,5.9,2.2,1.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0
14.0,1.9,1.58,4.5,9.8,4.6,1.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0
13.8,3.5,1.51,6.0,5.6,1.7,0.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0
14.1,2.7,1.71,5.2,8.8,3.7,0.0,0.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0
13.8,3.1,1.92,5.6,10.7,5.6,0.0,0.0,2.0,2.0,3.0,0.0,1.0,1.0,0.0,0.0
14.3,2.4,1.89,4.8,13.1,6.9,0.0,0.0,4.0,3.0,3.0,0.0,2.0,2.0,0.0,1.0
14.1,3.8,1.84,6.2,8.4,4.3,1.0,0.0,2.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0
14.1,3.3,1.89,5.6,10.4,5.7,1.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0
14.0,2.9,1.86,5.1,12.2,6.8,1.0,0.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0
13.8,3.2,1.77,5.5,6.6,3.1,0.0,0.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0
13.6,1.8,2.46,3.9,5.2,1.3,1.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0
14.3,1.7,3.13,3.1,8.8,2.1,1.0,0.0,3.0,4.0,2.0,1.0,3.0,0.0,0.0,1.0
13.8,1.4,7.02,1.9,8.2,2.2,2.0,0.2,4.0,24.0,2.0,2.0,0.0,0.0,0.0,1.0
13.6,1.1,3.1,3.3,6.0,2.0,0.0,0.0,3.0,8.0,2.0,1.0,2.0,0.0,0.0,1.0
14.1,0.9,2.77,3.8,7.3,3.8,0.0,0.0,3.0,7.0,2.0,1.0,2.0,0.0,0.0,1.0
14.8,2.2,1.95,4.9,13.9,7.1,1.0,0.0,2.0,1.0,3.0,0.0,2.0,0.0,0.0,1.0
14.1,3.5,2.12,5.4,8.9,3.6,1.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
14.4,2.4,2.36,4.7,13.0,5.5,1.0,0.0,3.0,3.0,2.0,0.0,1.0,0.0,0.0,1.0
14.4,2.6,1.81,4.504551641616917,11.7,4.6,1.0,0.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0
14.6,3.1,1.7,4.038745594892154,12.3,5.1,1.0,0.0,1.0,2.0,2.0,0.0,2.0,0.0,0.0,1.0
14.5,2.8,1.75,5.8658892205363395,11.2,5.1,0.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,1.0
14.7,1.0,2.26,3.3,11.6,4.0,0.0,0.0,1.0,2.0,3.0,0.0,1.0,0.0,0.0,1.0
14.3,3.2,2.26,3.992162129663162,6.9,2.6,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
15.0,1.3,2.06,3.5,7.4,1.5,0.0,0.0,1.0,2.0,3.0,0.0,1.0,0.0,0.0,1.0
14.2,2.6,1.92,5.7,11.0,4.3,0.0,0.0,1.0,1.0,3.0,0.0,4.0,0.0,0.0,1.0
16.1,5.6,3.94,6.1,15.7,11.9,0.0,0.0,3.0,5.0,2.0,0.0,2.0,0.0,0.0,1.0
14.9,4.2,2.77,5.4,10.6,4.6,0.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,1.0
15.0,4.4,2.66,5.3,17.4,13.4,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0
13.9,5.0,1.38,6.6,8.0,5.8,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
13.9,4.3,1.7,5.9,10.9,8.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
14.3,3.8,1.74,5.9,13.3,8.2,0.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0
14.3,5.3,1.58,6.0,12.9,6.7,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
14.6,4.5,1.64,5.8,14.7,9.4,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
14.9,4.0,2.18,5.7,16.7,12.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0
14.2,5.5,1.38,6.9,10.6,5.1,0.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0
14.5,5.1,1.58,6.2,13.2,8.2,0.0,0.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0
14.8,4.1,2.58,5.6,15.1,10.7,0.0,0.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0
14.9,4.0,1.85,5.4,16.5,12.2,1.0,0.0,2.0,3.0,3.0,0.0,1.0,0.0,0.0,1.0
14.1,4.8,1.34,6.5,8.3,4.4,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
14.2,4.2,1.72,6.0,10.8,6.1,1.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0
14.4,3.8,1.54,6.1,12.6,7.5,1.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0
13.8,5.0,1.31,6.9,6.8,2.9,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
14.3,4.1,1.66,5.7,11.4,6.6,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
14.9,3.7,1.8,5.6,13.0,7.8,1.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0
14.1,5.0,1.33,6.9,6.2,2.8,1.0,0.0,5.0,4.0,3.0,1.0,3.0,0.0,0.0,0.0
14.0,4.4,1.64,5.9,8.7,4.5,1.0,0.0,3.0,4.0,4.0,1.0,1.0,0.0,0.0,0.0
14.7,3.8,1.87,5.9,11.9,6.1,2.0,0.0,2.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0
14.1,4.7,1.26,5.8,6.4,3.2,1.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
14.1,4.4,1.64,6.2,9.6,5.8,1.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0
14.6,3.8,1.81,5.5,13.1,8.5,1.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0
14.0,4.7,1.29,5.3,5.9,2.2,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
14.3,3.5,1.51,6.1,7.7,3.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
14.6,2.4,1.88,4.8,13.1,6.2,2.0,0.0,2.0,2.0,2.0,0.0,3.0,0.0,0.0,1.0
14.0,4.2,1.41,6.2,7.8,4.6,1.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0
13.8,4.5,1.28,5.8,6.8,4.5,2.0,0.0,2.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0
14.3,3.7,1.65,5.6,10.2,7.8,2.0,0.0,2.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0
13.8,4.5,1.36,5.6,5.9,2.1,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
14.8,3.4,1.64,5.2,11.0,5.8,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
13.7,4.6,1.39,6.5,5.9,2.3,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
14.1,4.0,1.17,5.75162170132082,9.2,4.4,1.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
14.2,3.5,1.77,4.901072335683536,12.5,6.8,1.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
14.2,8.6,0.63,7.6,6.0,0.0,1.0,0.012868248744038796,8.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0
14.6,6.9,1.14,7.0,3.0,0.0,2.0,0.030415791530088002,5.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0
